spell,old20,bnc,subtlex
adjourned,2.75,598,211
adjourns,2.65,4,2
adjudge,2.65,4,1
adjudged,2.6,97,3
adjunct,2.85,152,6
adjuncts,3,43,0
adjured,2.05,12,0
adjust,2.4,1103,253
adjusts,2.5,91,8
adle,1.65,0,0
adlears,2.65,0,0
adleys,1.95,0,0
adloss,2.45,0,0
adly,1.7,0,2
adman,1.9,16,0
admar,2.05,0,0
admass,2.65,7,0
admen,1.85,15,0
admit,1.9,3758,2727
admits,1.95,1255,103
admueurs,3.65,0,0
admuffs,2.85,0,0
admugned,3.05,0,0
admunds,2.85,0,0
admurst,2.85,0,0
ado,1.55,116,73
adom,1.9,0,0
adopt,1.85,2482,234
adopts,2.1,289,11
adore,1.7,167,386
adored,1.8,322,123
adores,1.75,68,91
adorn,1.85,93,8
adorned,2.05,279,7
adorns,1.85,29,3
adrift,2.45,221,47
adroit,2.75,34,5
ads,1.15,576,242
adsen,1.95,0,0
adstied,3,0,0
adter,1.75,0,0
adult,1.95,5078,699
adults,1.95,3327,468
adv,1.75,14,0
advance,2.6,5040,752
advanced,2.75,4990,412
advent,1.9,804,16
adverb,2.3,72,6
adverbs,2.45,97,4
adverse,2.1,1185,35
advert,1.8,459,12
adverts,2,402,3
advice,2.25,10437,2413
advioned,2.95,0,0
advise,2.2,2048,577
advised,2.25,2479,267
adwocked,2.9,0,0
adwoke,2.65,0,0
adwolds,2.95,0,0
adwosks,3,0,0
adwouched,3.25,0,0
adwourts,2.95,0,0
adze,1.95,23,0
adzes,1.95,6,0
aecher,1.9,0,0
aegis,2,142,2
aekom,2.7,0,0
aeon,1.8,22,0
aeons,1.9,63,1
aerial,1.9,687,117
aerials,2.05,74,8
aertex,2.55,4,0
aertion,2.35,0,0
aesful,2.75,0,0
aesthete,3.4,23,6
aesthetes,3.45,15,1
afalt,2,0,0
afar,1.85,157,57
afas,1.9,0,0
afed,1.7,0,0
afel,2,0,0
afept,1.95,0,0
afepts,2.4,0,0
aferes,2.05,0,0
aferned,2.8,0,0
afes,1.55,0,0
affair,2.5,3304,1467
affairs,2.65,7276,555
affeal,2.75,0,0
affecks,2.7,0,0
affect,2.45,4988,566
affects,2.5,1424,242
affelts,2.8,0,0
affends,2.35,0,0
affine,2.25,8,0
affirm,2.3,183,15
affirmed,2.7,296,7
affirms,2.55,82,2
affix,2.5,51,4
affixed,2.65,71,1
afflane,2.8,0,0
afflarts,2.95,0,0
afflict,2.8,55,4
afflicts,2.8,48,3
affluence,3.25,210,6
affluent,3,396,15
affolds,2.65,0,0
affope,2.85,0,0
afford,2.5,4536,2259
affords,2.55,170,14
afforts,2.3,0,0
affranes,2.85,0,0
affray,2.65,114,0
affrays,2.7,8,0
affrins,2.7,0,0
affront,2.7,157,30
affronts,2.75,9,0
affrows,2.75,0,0
affug,2.8,0,0
affund,2.6,0,0
affurned,2.9,0,0
affuse,2.25,0,0
affuth,3,0,0
afghan,2.8,314,8
afghans,2.75,63,2
afia,1.85,0,0
afield,2.55,357,6
aflame,2.35,24,16
afloat,2.45,245,78
afoins,2.25,0,0
afoods,2,0,0
afoot,1.95,171,51
afore,1.85,103,18
afoys,2,0,0
afraid,2.65,5967,12167
afresh,2.6,208,12
afress,1.95,0,0
afro,1.9,61,17
afrome,2.6,0,0
afrons,1.95,0,0
afrorm,2.7,0,0
afros,1.95,11,2
afstint,2.95,0,0
