spell,old20,bnc,subtlex
boardwalk,3.85,39,71
boardwalks,4.05,6,1
boaros,1.9,0,0
boars,1.45,69,10
boarsing,2,0,0
boarsteak,3.7,0,0
boarwax,3.15,0,0
boas,1.1,33,2
boast,1.45,460,53
boasted,1.6,324,13
boaster,1.6,3,2
boastful,2.9,51,11
boasting,1.65,179,32
boasts,1.55,444,16
boat,1.2,5405,4750
boated,1.6,6,0
boater,1.75,36,1
boaters,1.8,24,3
boathouse,2.6,100,35
boaths,1.8,0,0
boating,1.65,146,43
boatman,2.45,86,14
boatmen,2.25,90,3
boats,1.25,1986,544
boatswain,3.55,11,9
boaves,1.85,0,0
bob,1,4519,86
bobbed,1.6,155,6
bobbies,1.8,61,4
bobbin,1.85,57,6
bobbing,1.5,214,30
bobbins,1.8,33,3
bobbost,2.85,0,0
bobby,1.85,1093,26
bobcat,2.8,4,10
bobe,1.55,0,0
bobes,1.55,0,0
bobies,1.75,0,0
bobin,1.9,0,0
bobip,2.35,0,0
boblaps,2.95,0,0
bobs,1,93,4
bobsen,2.45,0,0
bobsled,2.1,3,48
bobsleigh,3.8,11,12
bobtail,2.7,9,5
bobtraugh,4.3,0,0
boche,1.95,15,6
boches,1.9,3,0
bocked,1.4,0,0
bockens,2,0,0
bockhome,3.5,0,0
bocks,1.25,0,1
bocky,1.75,0,0
bocs,1.35,0,0
bod,1,47,31
bode,1.15,64,22
boded,1.55,25,0
bodes,1.3,37,10
bodice,2.15,154,11
bodies,1.9,6963,1644
bodis,1.85,0,0
bodkin,2.5,24,3
bods,1,23,6
body,1.75,25526,9740
boet,1.65,0,0
bofcoit,3.15,0,0
bofcosks,3.7,0,0
boffin,2.25,46,0
boffins,2.35,61,0
boffling,2.1,0,0
boffols,2.9,0,0
boffs,1.8,3,0
boffy,2,0,0
bofghiend,3.9,0,0
bofo,1.95,0,0
boft,1.65,0,0
bog,1,358,30
bogber,1.95,0,0
boge,1.6,0,0
bogey,1.85,129,47
bogeyed,2.65,9,0
bogeys,1.9,33,25
boggle,1.75,30,7
boggled,1.8,7,2
boggles,1.75,23,10
boggling,1.9,15,1
boggy,1.65,71,5
bogooms,2.7,0,0
bogs,1,172,6
bogus,1.9,333,131
bogwin,2.6,0,0
boh,1.25,0,21
bohas,1.95,0,0
bohees,2,0,0
boid,1.7,0,0
boil,1.45,799,271
boile,1.65,0,0
boiled,1.5,702,149
boiler,1.7,693,135
boilers,1.75,203,15
boiling,1.55,907,202
boilmess,2.95,0,0
boils,1.45,164,86
boin,1.65,0,0
boir,1.8,0,0
boirfade,3.7,0,0
boiry,2,0,0
boked,1.35,0,0
bolain,2.5,0,0
bolains,2.6,0,0
bolber,1.9,0,0
bold,1.3,1299,351
bolder,1.55,150,26
boldest,1.85,31,6
boldface,3.4,6,2
boldly,1.9,370,31
boldness,2.25,102,10
bole,1.15,22,0
boled,1.2,0,0
boles,1.2,11,0
boling,1.4,0,0
bolk,1.4,0,0
boll,1.15,26,4
bollants,2.8,0,0
bollap,2.55,0,0
bollard,2.1,37,0
bollards,2.35,65,0
bolled,1.55,0,0
bollied,1.9,0,0
bollind,2.15,0,0
bollocks,2.55,298,93
bollones,2.85,0,0
bollor,2,0,0
bolls,1.25,2,0
bollyrs,2.55,0,0
bolods,2,0,0
bolshy,2.75,8,0
bolster,1.8,273,15
bolstered,2.75,90,2
bolsters,1.8,35,2
bolt,1.35,758,263
bolted,1.8,354,96
bolthole,2.75,8,0
bolting,1.8,121,7
bolts,1.4,565,106
bolved,1.9,0,0
bolyx,2,0,0
bomb,1.7,3034,2561
bombard,2.55,48,11
bombards,2.7,14,2
bombast,2.6,29,1
bombed,1.8,347,194
bomber,1.85,613,180
bombers,1.9,496,139
bombing,1.85,1072,365
bombond,2.75,0,0
bombons,2.25,0,0
bombosts,2.75,0,0
bombrer,2.6,0,0
bombrers,2.65,0,0
bombs,1.7,1227,655
bombshell,3.85,108,38
bombshells,4.05,7,1
bomdrot,3.3,0,0
bome,1.45,0,0
bomedace,3.55,0,0
bomeler,2.7,0,0
bomelers,2.7,0,0
bomens,1.95,0,0
bomped,1.8,1,0
bomps,1.8,0,0
bomptlins,3.7,0,0
bomslered,3.35,0,0
bomsly,2.55,0,0
bomstrit,3.65,0,0
bonbons,2.55,8,28
bonch,1.8,0,0
bonchlan,3.7,0,0
boncoi,2.6,0,0
bond,1.35,2902,565
bondage,2.5,156,74
bonded,1.75,243,70
bonding,1.7,314,152
bonds,1.5,1959,300
bondswell,3.9,0,0
bondswells,4.1,0,0
bone,1,2432,1221
bonecul,2.95,0,0
boned,1.35,64,39
bonee,1.8,0,0
boneless,2.4,49,13
bonemeal,3.4,17,0
bones,1.15,2266,1135
bongo,1.85,58,19
bongos,1.95,10,14
boning,1.55,13,35
bonkers,1.8,49,31
bonned,1.7,0,0
bonnet,1.9,413,75
bonnets,2.2,60,7
bonny,1.85,144,64
bonpins,2.6,0,0
bonsai,3,53,37
bonsens,2.35,0,0
bonts,1.55,0,0
bonus,1.8,1395,445
bonvas,2.5,0,0
bony,1.6,321,52
boo,1,239,162
boob,1.4,16,136
boobed,1.65,8,1
boobies,1.85,9,58
booble,1.95,0,0
boobs,1.45,65,346
boobty,2.2,0,0
booby,1.75,45,100
boocer,1.95,0,0
boocers,1.95,0,0
booching,1.9,0,0
boodcace,3.15,0,0
booden,1.95,0,0
boodings,2.05,0,0
boodle,1.8,9,15
boodlebs,2.4,0,0
boodlenged,3.8,0,0
boodoes,2.15,0,0
boods,1.15,0,0
booed,1.35,90,18
boofs,1.4,0,0
booge,1.9,0,0
booged,1.7,0,1
boogie,2.05,161,185
boogies,1.85,2,4
boogle,1.85,0,0
boohoo,2.7,8,0
booing,1.35,29,43
boojive,2.9,0,0
book,1.15,24824,8226
bookbane,3.15,0,0
bookcase,3.05,157,46
bookclip,3.45,0,0
bookclips,3.65,0,0
bookclub,3.65,3,0
booked,1.45,1281,508
bookends,2.8,7,10
bookharm,3.5,0,0
bookie,1.8,63,124
bookies,1.75,147,43
booking,1.45,1217,104
bookings,2.05,579,19
bookish,2.35,49,9
booklet,2.6,1001,28
booklets,2.7,235,17
bookmark,3.05,46,20
bookmarks,3.05,19,10
bookplate,3.3,10,0
bookplates,3.35,10,0
bookplulf,4.3,0,0
books,1.25,13156,3280
bookshelf,3.75,80,17
bookshelves,4.5,94,16
bookshob,3.15,0,0
bookshop,2.8,492,39
bookshops,3.35,293,1
bookshyards,4.7,0,0
bookstall,3.7,32,0
bookstalls,3.75,14,0
bookwork,2.7,16,1
bookworm,3,13,35
bookworms,3.2,16,5
bool,1.2,0,0
booling,1.4,0,0
boolings,1.95,0,0
boolmalds,3.9,0,0
boolstades,3.95,0,0
boolwirms,3.75,0,0
boom,1.25,1616,609
boomed,1.5,197,1
booming,1.5,335,48
booms,1.3,106,10
boomties,2.7,0,0
boon,1.2,295,49
booner,1.85,0,0
booners,1.9,0,0
boons,1.45,4,0
boonsless,2.8,0,0
boonworm,3,0,0
boony,1.55,0,1
booper,1.85,0,0
boopers,1.85,0,0
boor,1.35,12,3
boored,1.6,0,0
boorish,2.4,38,16
boors,1.45,4,5
boorstates,3.6,0,0
boory,1.75,0,0
boos,1,52,8
boose,1.65,0,0
boosed,1.45,0,0
booser,1.8,0,0
boosing,1.45,0,0
boost,1.75,2061,207
boosted,1.8,446,31
booster,1.75,131,95
boosters,1.8,28,28
boosting,1.85,205,17
boosts,1.8,97,11
boot,1,1692,484
booted,1.2,129,40
bootees,1.95,14,4
booter,1.6,0,0
booth,1.65,611,567
boother,1.9,0,0
boothhead,3.6,0,0
boothheads,3.75,0,0
boothly,2.6,0,0
booths,1.85,129,55
bootine,1.95,0,0
booting,1.25,17,7
bootlace,2.8,11,1
bootleg,1.95,41,33
bootlegged,3.35,5,8
bootlegs,2.4,8,5
bootles,1.55,0,0
boots,1,3039,905
bootskin,2.9,0,0
bootstraps,3.8,14,7
bootstrums,3.8,0,0
booty,1.7,133,253
boov,1.6,0,0
boove,1.9,0,0
booved,1.7,0,0
booves,1.85,0,0
booze,1.75,308,515
boozed,1.55,7,1
boozer,1.7,30,18
boozers,1.9,14,5
boozing,1.7,43,16
boozy,1.75,45,8
bop,1,84,64
bopage,2.5,0,0
bopbat,2.75,0,0
bope,1.2,0,0
boped,1.25,0,0
bopes,1.25,0,0
bopped,1.6,10,5
bopper,1.7,11,1
boppers,1.75,5,11
bopping,1.65,12,12
boppon,2.55,0,0
bops,1,5,2
bopshed,2.3,0,0
bopt,1.65,0,0
bopy,1.7,0,0
borage,1.95,19,0
borax,2,13,4
borbieux,3.9,0,0
borce,1.85,0,0
bordeaux,2.85,302,2
border,1.7,4015,842
bordered,2.15,234,4
borders,1.8,1479,124
bore,1,1535,388
borecum,2.9,0,0
bored,1.4,1567,990
boredom,2.85,587,96
borehole,2.75,111,3
boreholes,2.75,123,1
borer,1.45,4,2
bores,1.2,86,39
boresales,3.15,0,0
borgrel,2.85,0,0
borgues,2,0,0
boric,1.95,5,1
boride,1.95,0,0
boring,1.55,1722,1277
borjai,2.85,0,0
borks,1.55,0,0
borl,1.75,0,0
borls,1.8,0,0
borm,1.55,0,0
bormash,2.95,0,0
born,1.3,8447,4014
bornceal,3.1,0,0
borne,1.85,1144,51
boron,1.8,23,2
borough,2.6,1915,39
boroughs,2.7,488,14
borplade,3.35,0,0
borraged,2.65,0,0
borray,2.25,0,0
borrays,2.55,0,0
borrow,1.75,1451,1445
borrowed,2.3,1178,490
borrows,1.8,98,24
borru,2,0,0
borsch,2.55,0,2
borscht,2.9,8,30
borsder,2.2,0,0
borstal,2.6,67,0
borstals,2.8,11,0
bortade,2.85,0,0
borted,1.7,0,0
bortnies,2.8,0,0
borts,1.5,0,0
boryards,2.75,0,0
boryeur,2.85,0,0
borzoi,2.8,6,0
boscies,2.35,0,0
bosh,1.4,13,4
boshdess,3,0,0
boshhome,3.55,0,0
bosk,1.6,1,0
bosks,1.65,0,0
bosky,1.85,8,0
bosom,1.8,270,154
bosoms,1.8,44,31
bosping,1.9,0,0
boss,1.1,3285,5071
bossed,1.9,23,6
bossers,1.85,0,0
bosses,1.6,845,213
bossing,1.95,17,36
bossrons,2.95,0,0
bossy,1.85,117,75
bostgemns,3.9,0,0
bosting,1.4,0,0
bostle,1.85,0,0
bostled,1.85,0,0
bostles,1.85,0,0
boston,2.25,819,0
bostron,2.7,0,0
bosts,1.35,0,0
bosyp,2.1,0,0
botch,1.7,24,16
botched,1.8,58,56
botching,1.9,9,1
bote,1.35,1,0
both,1.55,68806,13225
bother,1.6,2428,3399
bothered,1.95,1573,523
bothers,1.65,122,372
bothro,2.7,0,0
bothry,2.65,0,0
botle,1.9,0,1
botles,1.9,0,0
bottle,1.75,4171,2510
bottled,1.8,282,116
bottles,1.8,1831,668
botto,1.8,0,0
bottom,2.45,7549,2329
bottoms,2.6,324,99
bottups,2.85,0,0
bouchdess,3.1,0,0
boucul,2.95,0,0
boudil,2.85,0,0
boudoir,3.1,63,41
boudoirs,3.15,4,3
bouffant,3.6,25,2
bough,1.6,114,8
boughs,1.65,89,18
bought,1.65,9074,4270
bouillon,3.3,14,7
bouillons,3.5,2,0
boujumns,3.75,0,0
boujusc,3.5,0,0
boulder,1.8,217,46
boulders,1.85,319,18
boulds,1.85,0,0
bouldst,2.45,0,0
bounce,1.7,506,442
bounced,1.75,552,142
bouncer,1.7,126,71
bouncers,1.95,67,19
bounces,1.7,92,40
bouncier,2.3,4,2
bouncing,1.9,437,196
bouncy,2.05,108,59
bound,1.5,5001,891
bounded,1.45,358,9
bounden,1.9,12,2
bounder,1.55,15,7
bounders,1.7,7,1
bounding,1.55,132,10
boundless,2.45,89,15
bounds,1.5,592,112
bounge,1.9,0,0
bounteous,3.15,8,1
bounties,2.4,16,6
bounts,1.65,0,0
bounty,1.9,194,323
bouquet,2.85,295,145
bouquets,2.85,72,22
bour,1.3,0,0
bourbon,2.6,140,237
bourbons,2.75,30,6
bourged,2,0,0
bourgeois,3.15,1002,54
bourn,1.8,56,2
bournes,1.9,0,0
bourse,1.9,35,0
bourses,1.9,16,0
bourth,1.95,0,0
bousair,2.85,0,0
bousairs,2.9,0,0
boused,1.65,0,0
bout,1.4,413,930
boute,1.8,0,0
boutique,3.3,122,38
boutiques,3.4,100,7
bouts,1.55,228,25
bov,1.45,0,0
boved,1.55,0,0
bovine,2,217,14
bovive,2.5,0,0
bovril,2.8,56,0
bovver,2,24,0
bow,1,1471,857
bowdler,1.95,10,0
bowed,1.2,853,40
bowel,1.6,1253,170
bowels,1.65,215,85
bower,1.15,139,7
bowers,1.2,101,3
bowing,1.25,227,59
bowl,1.35,2436,817
bowled,1.6,402,31
bowler,1.65,656,54
bowlers,1.7,385,9
bowlful,2.7,9,3
bowling,1.6,813,491
bowls,1.4,729,106
bowman,2.2,110,1
bowmen,1.95,41,8
bowned,1.65,0,0
bownfy,2.75,0,0
bowns,1.6,0,0
bows,1,447,87
bowse,1.8,0,0
bowser,1.8,12,0
bowshot,2.8,4,0
bowsprit,3.5,15,0
bowtin,2.3,0,0
box,1.25,8922,4355
boxed,1.55,261,61
boxens,1.9,0,0
boxer,1.7,483,162
boxers,1.75,165,93
boxes,1.55,2731,774
boxful,2.65,19,4
boxing,1.65,1233,297
boxtiants,3.95,0,0
boxtiche,3.6,0,0
boxwood,2.9,21,0
boy,1,13290,22615
boycott,2.95,619,44
boycotts,3.15,47,4
boyed,1.6,0,1
boyfriend,3.65,1093,3583
boyfriends,3.85,215,244
boyfruists,4.4,0,0
boyhood,2.65,150,31
boyish,2.3,167,31
boymood,2.8,0,0
boyroad,2.7,0,0
boys,1.25,8054,10241
boz,1.35,128,0
boze,1.65,0,0
bozed,1.55,0,0
bra,1.5,352,534
brab,1.35,0,0
brable,1.9,0,0
brables,1.95,0,0
bracands,2.9,0,0
brace,1.5,339,142
braced,1.55,236,14
bracelet,2.85,195,390
bracelets,2.8,110,94
bracen,1.75,0,0
braces,1.45,196,154
brachshead,3.8,0,0
bracing,1.65,196,22
brackbail,3.5,0,0
brackbind,2.9,0,0
brackbites,3,0,0
bracken,1.9,235,2
bracket,1.85,411,22
brackets,1.9,652,11
brackhown,3.5,0,0
brackish,2.9,133,4
bracklebs,2.7,0,0
bracklives,3.65,0,0
brackmagged,4.45,0,0
brackmall,3.65,0,0
brackoft,3.05,0,0
brackoths,3.45,0,0
braclant,3.05,0,0
bracons,2.25,0,0
bract,1.8,2,0
bracts,1.8,15,0
brad,1.2,118,0
bradawl,2.85,4,0
brads,1.45,3,0
brae,1.35,77,3
brael,1.85,0,0
braes,1.45,10,3
brafely,2.45,0,0
brafon,2.3,0,0
brafoned,2.85,0,0
brafons,2.6,0,0
brafter,1.9,0,0
brafts,1.7,0,0
brag,1.35,37,177
brage,1.55,0,0
braged,1.65,0,0
braggart,3.3,13,13
braggarts,3.65,6,1
bragged,1.8,21,29
bragging,1.85,35,113
braggrass,3.75,0,0
brags,1.4,1,16
bragshops,3.85,0,0
brahmin,2.8,39,0
brahmins,2.8,20,0
braid,1.75,180,40
braided,1.8,88,17
braiding,1.8,20,4
braids,1.75,38,37
braightness,3.25,0,0
braille,2.65,129,4
brain,1.5,4767,3710
braincharm,3.9,0,0
brainchild,3.75,131,11
braincove,3.8,0,0
brained,1.75,10,2
braining,1.75,4,1
brainless,2.65,39,42
brains,1.65,961,1335
brainsmaid,3.9,0,0
brainsoves,3.75,0,0
brainstorm,3.35,33,26
brainwash,3.25,9,22
brainwashed,3.85,39,80
brainwave,3.45,41,4
brainwaves,3.55,12,6
brainy,1.75,60,37
brairflild,4.8,0,0
braise,1.75,1,0
braised,1.65,22,9
braising,1.75,13,1
braits,1.7,0,0
brake,1.45,604,252
braked,1.6,96,1
braken,1.7,0,0
brakes,1.5,583,301
braking,1.65,191,17
braky,1.9,0,0
bral,1.5,0,0
bralseheads,4.25,0,0
brambieu,3.05,0,0
brambieux,3.9,0,0
bramble,1.9,121,0
brambles,1.9,158,0
brampiere,3.1,0,0
bran,1.25,177,45
branch,1.8,5484,435
branched,1.9,111,7
branches,1.8,3260,169
branching,2.15,318,10
brand,1.55,1554,587
branded,1.85,383,71
brandied,2.1,3,1
brandies,1.9,36,13
branding,1.85,136,33
brandish,2.45,11,1
brandished,2.65,49,5
brandmess,2.85,0,0
brands,1.65,770,50
brandy,1.8,924,383
branging,1.75,0,0
brangs,1.8,0,0
brankes,1.95,0,0
branks,1.55,0,0
branless,2.75,0,0
brannect,3,0,0
brans,1.3,1,0
branty,1.95,0,0
brap,1.4,0,0
brape,1.55,0,0
brapped,1.8,0,0
braps,1.45,0,0
brare,1.6,1,0
brarks,1.95,0,0
brarmed,2,0,0
brarped,2,0,0
brarque,2.85,0,0
brarthwork,4,0,0
brartled,2.7,0,0
bras,1.1,141,77
brased,1.65,0,0
brasely,2.1,0,0
brash,1.65,151,20
brasher,1.95,31,0
brashest,2.25,2,0
brashligned,4.55,0,0
brashlions,3.85,0,0
brashly,2.35,13,1
brashness,2.6,22,1
brashnun,3.5,0,0
brashnuns,3.7,0,0
brashtoint,4.35,0,0
brasp,1.75,0,0
brasper,2,0,0
brass,1.45,1531,364
brassard,2.85,50,0
brasser,1.85,0,0
brasses,1.8,58,4
brassiere,2.65,26,27
brassieres,3.35,11,10
brassy,1.9,53,6
braste,1.95,0,0
brastios,2.85,0,0
brat,1.25,122,299
brate,1.25,0,0
brater,1.75,0,0
braters,1.8,0,0
brates,1.35,0,0
bratmess,3,0,0
brats,1.3,45,71
brave,1.4,1830,1511
braved,1.55,82,12
bravely,1.9,338,75
braver,1.65,62,53
braves,1.35,17,17
bravest,1.9,51,86
braving,1.7,43,8
bravo,1.9,110,81
bravold,2.8,0,0
bravouts,2.85,0,0
brawdess,2.9,0,0
brawed,1.65,0,0
braweer,2.35,0,0
braweers,2.6,0,0
brawk,1.9,0,0
brawks,1.95,0,0
brawl,1.7,153,106
brawled,1.75,4,0
brawler,1.8,2,9
brawlers,2.1,5,1
brawling,1.8,46,27
brawls,1.75,34,9
brawn,1.65,43,28
brawnier,2.3,4,0
brawny,1.9,31,8
braxing,1.75,0,0
bray,1.3,232,8
brayed,1.6,24,0
braying,1.6,33,1
brays,1.35,7,7
braysish,2.85,0,0
braze,1.45,0,0
brazed,1.45,3,0
brazen,1.85,122,58
brazier,1.85,97,1
braziers,2.45,18,0
brazil,2.05,1697,3
breach,1.65,3199,305
breached,1.65,340,83
breaches,1.6,428,34
breaching,1.7,128,11
breachneed,3.45,0,0
breachsone,3.9,0,0
bread,1.5,3770,1341
breadboard,3.6,8,1
breadbrombs,4.55,0,0
breadcrumb,4.6,9,0
breadcrumbs,4.6,136,10
breaded,1.9,6,9
breadfruit,4.15,10,6
breadheard,3.5,0,0
breadline,2.75,23,4
breadphamb,4.65,0,0
breadshoot,3.85,0,0
breadth,2.35,590,21
breadths,2.5,0,0
breagues,2.7,0,0
break,1.6,9397,10114
breakage,2.75,198,9
breakcast,2.95,0,0
breakdown,2.85,1477,356
breakdowns,3.55,144,24
breaker,1.85,100,85
breakers,1.9,138,50
breakfast,3.1,4456,3025
breakfasts,3.5,129,21
breaking,1.8,3294,2008
breakneck,3.85,44,3
breakness,2.6,0,0
breakout,2.5,50,16
breakouts,2.75,5,4
breaks,1.7,1764,924
breakthrough,3.45,709,171
breakthroughs,4.35,56,14
breakup,2.45,44,147
breals,1.85,0,0
brealth,2.2,0,0
bream,1.65,428,0
breamdopes,3.95,0,0
breamer,1.85,0,0
breamfades,3.9,0,0
breams,1.7,2,0
breamstrough,4.45,0,0
breamstroughs,5.25,0,0
breant,1.95,0,0
breards,1.95,0,0
brearns,2.25,0,0
brears,1.75,0,0
brearths,2.25,0,0
breartthroke,5.15,0,0
breas,1.55,0,0
breasfown,3.65,0,0
breast,1.85,1677,424
breastbone,3.65,22,9
breasted,1.95,41,6
breastfed,2.6,18,2
breastfeed,3.35,38,9
breasting,2,8,0
breastplate,4.5,25,11
breastplates,4.5,9,2
breasts,1.9,1264,611
breaststroke,5,32,9
breat,1.5,0,0
breath,1.7,5157,2232
breathced,2.6,0,0
breathe,1.65,1114,1862
breathed,1.75,891,69
breather,1.75,106,62
breathers,1.9,4,3
breathes,1.65,102,83
breathing,2,2408,1361
breathless,2.7,499,44
breaths,1.7,216,156
breathstate,4.55,0,0
breathstates,4.65,0,0
breathy,2.1,38,1
breaves,1.8,0,0
brebe,1.85,0,0
breckwork,3.45,0,0
bred,1.55,709,116
bredeuse,3.05,0,0
bredge,1.9,0,0
breds,1.7,0,0
breech,1.9,38,30
breeches,1.9,209,18
breed,1.5,1930,300
breedcanes,3.75,0,0
breeded,1.85,0,0
breeder,1.9,198,38
breeders,2.15,319,15
breeding,1.9,2109,175
breeds,1.8,723,54
breedy,1.75,0,0
breef,1.8,0,0
breefs,1.8,0,0
breek,1.75,0,0
breeming,1.9,0,0
breeners,2.4,0,0
breepers,2.15,0,0
breeping,1.8,0,0
breerboards,3.65,0,0
breering,1.9,0,0
breet,1.8,0,0
breeted,1.9,0,0
breeters,2.15,0,0
breeting,1.85,0,0
breets,1.8,0,0
breetside,3.65,0,0
breeture,2.95,0,0
breetures,2.95,0,0
breeze,1.8,1381,374
breezeblock,5,2,0
breezed,1.9,33,4
breezes,1.85,90,41
breezing,1.9,8,3
breezy,2.1,91,32
brelting,1.95,0,0
bren,1.65,53,0
brendered,2.8,0,0
brens,1.8,4,0
brenter,1.95,0,0
brenters,2.1,0,0
brere,1.95,0,0
brerepots,3.75,0,0
breres,1.95,0,0
brescect,2.9,0,0
brethren,3,159,55
breve,1.85,1,1
breves,1.75,0,1
brevet,1.85,5,0
brevets,1.9,3,0
brew,1.65,361,119
brewed,1.85,157,22
brewer,1.85,321,6
breweries,2.9,262,1
brewers,1.9,459,2
brewery,2.55,752,79
brewing,1.95,590,48
brewpen,2.8,0,0
brews,1.8,62,8
brewtan,2.95,0,0
briamin,2.9,0,0
briamins,2.9,0,0
briar,1.9,69,16
briars,1.9,23,1
bribbard,3.15,0,0
bribe,1.75,247,300
bribed,1.9,107,94
bribes,1.75,217,70
bribing,2,54,28
brick,1.65,1861,365
brickbat,3.2,5,0
brickbats,3.5,15,1
brickhark,3.65,0,0
brickled,1.9,0,0
brickling,2.05,0,0
brickpots,3.3,0,0
bricks,1.7,971,190
brickwork,3.7,296,2
brickyard,3.4,6,3
brickyards,3.5,2,0
bridal,2.2,160,119
bride,1.6,1119,1148
bridegroom,4.55,151,70
bridegrooms,4.6,8,0
brides,1.65,152,39
brideshooed,4.7,0,0
bridesmaid,4.45,115,122
bridesmaids,4.7,106,76
bridge,1.65,6520,1847
bridged,1.75,104,4
bridgehead,3.75,29,6
bridgeheads,4.25,5,0
bridgemalts,4.7,0,0
bridges,1.65,1042,173
bridgework,4.1,3,6
bridging,1.8,271,11
bridle,1.8,252,15
bridled,1.8,51,3
bridles,1.8,50,0
brie,1.6,57,20
bried,1.5,0,0
brief,1.9,5379,693
briefcase,3.65,378,433
briefed,2.1,283,99
briefer,2.4,47,0
briefest,2.75,90,9
briefing,2.25,723,213
briefings,2.9,135,19
briefly,2.65,3280,132
briefs,1.9,147,41
brieking,1.95,0,0
brieler,2.25,0,0
brielers,2.6,0,0
brieles,1.95,0,0
brieling,1.9,0,0
brieve,1.9,0,0
brig,1.65,141,88
brigade,2.6,1181,83
brigades,2.6,94,7
brigand,2.75,11,8
brigands,2.7,34,6
briggaves,3.5,0,0
brigging,1.75,0,0
briggy,2.2,0,0
bright,1.65,5540,1692
brighten,2.1,158,63
brightened,2.75,155,5
brightens,2.35,36,8
brighter,2.1,557,140
brightest,2.6,261,107
brightly,2.3,775,32
brightness,2.6,413,29
brigon,2.35,0,0
brigpole,3.1,0,0
brigpoles,3.2,0,0
brigs,1.7,6,0
brigship,3.4,0,0
brigstone,3,0,0
brike,1.65,0,0
brikee,2,0,0
brikes,1.7,0,0
brilkly,2.4,0,0
brill,1.65,85,2
brilled,1.7,0,0
brilles,1.85,0,0
brilliance,3.4,380,72
brilliant,2.8,3498,1489
brilliants,3.15,11,0
brills,1.65,0,0
brilly,1.75,0,0
brilming,1.95,0,0
brim,1.7,190,37
brime,1.55,0,0
brimed,1.75,0,0
brimemess,3.15,0,0
brimes,1.6,0,0
brimful,2.95,17,0
briming,1.75,0,0
brimmed,1.85,36,0
brimmers,2.2,0,0
brimming,1.85,159,14
brimpon,2.9,0,0
brimpons,2.9,0,0
brims,1.75,19,2
brimstone,3.25,44,40
brincer,2.05,0,0
brinch,1.9,0,0
brincy,2.15,0,0
brinder,1.8,0,0
brindled,2.15,19,0
brindly,2.1,0,0
brindwash,3.8,0,0
brine,1.6,171,15
brineer,2.3,0,0
brines,1.7,12,0
briney,1.85,0,0
bring,1.5,15455,13428
bringing,1.75,4907,2147
bringring,2.6,0,0
brings,1.65,3224,1726
bringwashed,4.55,0,0
brink,1.5,421,112
brinked,1.9,0,0
brinkes,1.9,0,0
brinking,1.8,0,0
brinks,1.6,2,0
brinning,1.9,0,0
brinste,2.8,0,0
brinsted,2.7,0,0
brinstes,2.8,0,0
brinsty,2.75,0,0
brint,1.7,0,0
brinter,1.9,0,0
brinting,1.9,0,0
brinx,1.8,0,0
briny,1.8,9,13
brioche,2.8,15,5
brip,1.65,0,0
bripped,1.8,0,0
brips,1.65,0,0
briquettes,3.55,21,3
brir,1.85,0,0
brirding,2.05,0,0
brirging,2.1,0,0
brirl,1.95,0,0
brirling,1.95,0,0
brirls,1.95,0,0
brirs,1.85,0,0
brisely,2.2,0,0
brisk,1.8,513,48
brisked,1.8,0,0
brisker,1.95,26,0
briskers,2.2,0,0
brisket,2.4,14,38
brisklet,2.55,0,0
brisklets,2.8,0,0
briskly,2.1,509,12
briskness,2.75,17,0
brist,1.85,0,0
bristle,1.75,75,11
bristled,2.2,71,1
bristles,1.9,133,16
bristling,2.7,128,4
bristly,2,49,1
bristols,2.8,5,0
brit,1.6,143,9
britain,2.8,25101,0
brited,1.9,0,0
brithbloom,4.85,0,0
britiants,3.55,0,0
britier,1.95,0,0
briting,1.8,0,0
british,2.8,35793,15
britiste,2.9,0,0
briton,2.35,249,0
britons,2.3,540,0
britter,1.8,0,0
brittered,2.5,0,0
britters,1.85,0,0
britting,2,0,0
brittle,2,461,62
brived,1.85,0,0
briving,1.8,0,0
brivings,2.4,0,0
briy,1.8,0,0
broa,1.8,1,0
broach,1.85,68,22
broached,2,80,13
broaches,1.8,4,1
broaching,2.3,15,1
broad,1.65,5204,709
broadcast,3.05,1498,430
broadcasts,3.25,615,27
broadclink,3.8,0,0
broadcloth,4,10,1
broaden,2.05,314,49
broadened,2.9,265,6
broadens,2.55,40,4
broader,1.9,1404,33
broadest,2.35,164,5
broadfast,3.05,0,0
broadfliet,3.95,0,0
broading,1.9,0,0
broadless,2.65,0,0
broadlight,3.9,0,0
broadlights,3.9,0,0
broadlit,3.15,0,0
broadloom,3.7,12,1
broadlust,3.2,0,0
broadly,2.5,1603,9
broadneck,3.55,0,0
broadness,2.7,11,0
broads,1.75,116,171
broadsheet,3.6,69,0
broadsheets,3.8,24,0
broadsherds,3.6,0,0
broadside,3.2,90,21
broadsides,3.3,23,6
broadsweats,3.8,0,0
broadsword,3.8,9,7
broadswords,3.85,8,2
broan,1.75,0,0
broardes,2.4,0,0
broarding,2.5,0,0
broasters,2.25,0,0
broasting,2.1,0,0
broasty,2.5,0,0
broat,1.75,0,0
broathed,2.15,0,0
broathing,2.45,0,0
broats,1.75,0,0
brobe,1.8,0,0
brobed,1.8,0,0
brocade,2.4,93,5
brocades,2.35,13,1
brochure,3.1,945,97
brochures,2.95,382,56
brockalls,3.75,0,0
brocked,1.8,1,0
brocking,1.8,0,0
brodge,1.95,0,0
brodged,1.95,0,0
brog,1.65,0,0
